pdate,hour,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-04,11,91,91,91,91,91,91,428,409,409
2016-05-04,11,92,92,92,92,92,92,68,65,65
2016-05-04,12,88,88,88,88,88,88,331,321,321
2016-05-04,12,89,89,89,89,89,89,632,627,627
2016-05-04,12,90,90,90,90,90,90,927,924,924
2016-05-04,12,91,91,91,91,91,91,369,368,368
2016-05-04,12,92,92,92,92,92,92,53,52,52
2016-05-04,13,23,23,23,23,23,23,2,1,1
2016-05-04,13,88,88,88,88,88,88,3451,3086,3086
2016-05-04,13,89,89,89,89,89,89,6575,6210,6210
2016-05-04,13,90,90,90,90,90,90,9974,9408,9408
2016-05-04,13,91,91,91,91,91,91,3734,3471,3471
2016-05-04,13,92,92,92,92,92,92,598,536,536
2016-05-04,14,88,88,88,88,88,88,176,170,170
2016-05-04,14,89,89,89,89,89,89,308,306,306
2016-05-04,14,90,90,90,90,90,90,489,488,488
2016-05-04,14,91,91,91,91,91,91,194,192,192
2016-05-04,14,92,92,92,92,92,92,31,29,29
2016-05-04,15,88,88,88,88,88,88,223,203,203
2016-05-04,15,89,89,89,89,89,89,463,455,455
2016-05-04,15,90,90,90,90,90,90,592,585,585
2016-05-04,15,91,91,91,91,91,91,307,304,304
2016-05-04,15,92,92,92,92,92,92,52,49,49
2016-05-04,16,88,88,88,88,88,88,421,401,401
2016-05-04,16,89,89,89,89,89,89,790,775,775
2016-05-04,16,90,90,90,90,90,90,1344,1327,1327
2016-05-04,16,91,91,91,91,91,91,490,482,482
2016-05-04,16,92,92,92,92,92,92,93,88,88
2016-05-04,17,88,88,88,88,88,88,1204,1152,1152
2016-05-04,17,89,89,89,89,89,89,2318,2278,2278
2016-05-04,17,90,90,90,90,90,90,2907,2861,2861
2016-05-04,17,91,91,91,91,91,91,1193,1168,1168
2016-05-04,17,92,92,92,92,92,92,169,159,159
2016-05-04,18,88,88,88,88,88,88,5,5,5
2016-05-04,18,89,89,89,89,89,89,13,13,13
2016-05-04,18,90,90,90,90,90,90,22,22,22
2016-05-04,18,91,91,91,91,91,91,10,10,10
2016-05-04,18,92,92,92,92,92,92,1,1,1
2016-05-04,19,88,88,88,88,88,88,2556,2433,2433
2016-05-04,19,89,89,89,89,89,89,4617,4555,4555
2016-05-04,19,90,90,90,90,90,90,6312,6237,6237
2016-05-04,19,91,91,91,91,91,91,2351,2319,2319
2016-05-04,19,92,92,92,92,92,92,387,371,371
2016-05-04,20,26,26,26,26,26,26,1,1,1
2016-05-04,20,88,88,88,88,88,88,2741,2582,2582
2016-05-04,20,89,89,89,89,89,89,4637,4538,4538
2016-05-04,20,90,90,90,90,90,90,5854,5733,5733
2016-05-04,20,91,91,91,91,91,91,2231,2167,2167
2016-05-04,20,92,92,92,92,92,92,360,337,337
2016-05-04,21,23,23,23,23,23,23,2,1,1
2016-05-04,21,88,88,88,88,88,88,519,506,506
2016-05-04,21,89,89,89,89,89,89,905,895,895
2016-05-04,21,90,90,90,90,90,90,1468,1458,1458
2016-05-04,21,91,91,91,91,91,91,669,664,664
2016-05-04,21,92,92,92,92,92,92,113,110,110
2016-05-05,0,88,88,88,88,88,88,721,615,615
2016-05-05,0,89,89,89,89,89,89,1352,1166,1166
2016-05-05,0,90,90,90,90,90,90,2444,2130,2130
2016-05-05,0,91,91,91,91,91,91,1320,1115,1115
2016-05-05,0,92,92,92,92,92,92,219,181,181
2016-05-05,2,88,88,88,88,88,88,10,10,10
2016-05-05,2,89,89,89,89,89,89,24,24,24
2016-05-05,2,90,90,90,90,90,90,50,50,50
2016-05-05,2,91,91,91,91,91,91,21,21,21
2016-05-05,2,92,92,92,92,92,92,2,2,2
2016-05-05,3,88,88,88,88,88,88,422,362,362
2016-05-05,3,89,89,89,89,89,89,615,553,553
2016-05-05,3,90,90,90,90,90,90,1062,949,949
2016-05-05,3,91,91,91,91,91,91,758,669,669
2016-05-05,3,92,92,92,92,92,92,112,98,98
2016-05-05,4,88,88,88,88,88,88,2,2,2
2016-05-05,4,89,89,89,89,89,89,1,1,1
2016-05-05,5,88,88,88,88,88,88,1097,901,901
2016-05-05,5,89,89,89,89,89,89,1790,1481,1481
2016-05-05,5,90,90,90,90,90,90,1912,1569,1569
2016-05-05,5,91,91,91,91,91,91,630,515,515
2016-05-05,5,92,92,92,92,92,92,84,56,56
2016-05-05,6,88,88,88,88,88,88,21,21,21
2016-05-05,6,89,89,89,89,89,89,55,53,53
2016-05-05,6,90,90,90,90,90,90,48,47,47
2016-05-05,6,91,91,91,91,91,91,27,27,27
2016-05-05,6,92,92,92,92,92,92,8,7,7
2016-05-05,7,88,88,88,88,88,88,185,183,183
2016-05-05,7,89,89,89,89,89,89,323,322,322
2016-05-05,7,90,90,90,90,90,90,392,392,392
2016-05-05,7,91,91,91,91,91,91,139,139,139
2016-05-05,7,92,92,92,92,92,92,17,17,17
2016-05-05,8,88,88,88,88,88,88,821,769,769
2016-05-05,8,89,89,89,89,89,89,1197,1152,1152
2016-05-05,8,90,90,90,90,90,90,1393,1348,1348
2016-05-05,8,91,91,91,91,91,91,463,443,443
2016-05-05,8,92,92,92,92,92,92,70,60,60
2016-05-05,9,88,88,88,88,88,88,815,787,787
2016-05-05,9,89,89,89,89,89,89,1640,1623,1623
2016-05-05,9,90,90,90,90,90,90,2224,2209,2209
2016-05-05,9,91,91,91,91,91,91,799,795,795
2016-05-05,9,92,92,92,92,92,92,131,126,126
2016-05-05,10,88,88,88,88,88,88,19,18,18
2016-05-05,10,89,89,89,89,89,89,36,36,36
2016-05-05,10,90,90,90,90,90,90,66,66,66
2016-05-05,10,91,91,91,91,91,91,16,16,16
2016-05-05,10,92,92,92,92,92,92,2,1,1
2016-05-05,11,23,23,23,23,23,23,2,1,1
2016-05-05,11,26,26,26,26,26,26,1,1,1
2016-05-05,11,88,88,88,88,88,88,1029,955,955
2016-05-05,11,89,89,89,89,89,89,1787,1714,1714
2016-05-05,11,90,90,90,90,90,90,2233,2144,2144
2016-05-05,11,91,91,91,91,91,91,882,833,833
2016-05-05,11,92,92,92,92,92,92,157,142,142
2016-05-05,12,88,88,88,88,88,88,1749,1611,1611
2016-05-05,12,89,89,89,89,89,89,3316,3138,3138
2016-05-05,12,90,90,90,90,90,90,4601,4373,4373
2016-05-05,12,91,91,91,91,91,91,2006,1892,1892
2016-05-05,12,92,92,92,92,92,92,334,303,303
2016-05-05,13,88,88,88,88,88,88,66,64,64
2016-05-05,13,89,89,89,89,89,89,110,109,109
2016-05-05,13,90,90,90,90,90,90,180,180,180
2016-05-05,13,91,91,91,91,91,91,90,89,89
